,league_name,level
0,International League,AAA
167,Pacific Coast League,AAA
539,Major League Baseball,MLB
1480,Eastern League,AA
1555,Southern League,AA
1632,Texas League,AA
1764,Midwest League,A+
1782,South Atlantic League,A+
1929,Northwest League,A+
1984,Florida State League,A
2057,Carolina League,A
2185,California League,A
74513,Dominican Summer League,ROK
74980,Florida Complex League,ROK
75140,Arizona Complex League,ROK
250710,Arizona Fall League,WIN
